	Haltung	Begründung	true	model	run
0	konservativ	Der Artikel kritisiert den dominierenden Einfluss von Frauen auf die Literatur als 'Verweiblichung' und wertet diese als schädliche 'Pantoffelherrschaft' ab. Er idealisiert stattdessen männliche 'Härte' und 'Kraft' als literarische Ideale und spiegelt damit ein traditionelles Geschlechterbild, das weibliche Einflüsse als Verfallsfaktor deutet.	konservativ	deepseek/deepseek-r1-0528:free	1
1	konservativ	Der Artikel idealisiert traditionelle Geschlechterrollen, indem er Frauen ausschließlich als Ehefrauen, Mütter und Haushaltsführende innerhalb der Militärhierarchie darstellt. Er erwähnt zwar Bildungsanstrengungen für Mädchen, kritisiert diese aber als übertrieben ('Halbbildung') und fördert kein Engagement für Frauenrechte, Erwerbsarbeit oder Gleichstellung.	neutral	deepseek/deepseek-r1-0528:free	1
2	konservativ	Der Artikel lehnt die Frauenbewegung explizit ab, indem er argumentiert, Berufstätigkeit halte 'tüchtige' Frauen von der Fortpflanzung ab ('negative Auslese der Tüchtigen') und schade dem 'Volkstum'. Er fordert stattdessen, Frauen auf den 'mütterlichen Beruf' zu beschränken und wirtschaftliche Bedingungen so zu gestalten, dass Männer allein den Familienunterhalt verdienen. Zudem idealisiert er das traditionelle Familienmodell ('in Jahrtausenden bewährte Ordnung') und verwirft Reformen wie kollektive Kinderfürsorge als schädlich.	anderes Thema	deepseek/deepseek-r1-0528:free	1
3	progressiv	Der Artikel befürwortet aktiv die berufliche Beteiligung von Frauen in der öffentlichen Armenpflege als gleichberechtigte Amtsträgerinnen. Er dokumentiert konkrete Erfolge weiblicher Beteiligung, widerlegt konservative Vorurteile (z.B. angebliche mangelnde Verantwortung) und fordert formale Gleichstellung einschließlich voller Stimmrechte, wie z.B. in Bremen, wo die Bürgerschaft über den Senat hinweg entschied.	progressiv	deepseek/deepseek-r1-0528:free	1
4	progressiv	Der Artikel schildert die Frauenbewegung historisch als notwendige Antwort auf Industrialisierungsfolgen und würdigt ihre Erfolge bei der Verbesserung von Frauenbildung, Berufszugang und politischen Rechten. Er unterstützt öffentlich das Frauenstimmrecht, den Kampf um Arbeitsrechte und kritisiert konservative Widerstände als rückständig. Die Darstellung der Bewegung als „unvermeidlich und gemeinnützig“ unterstreicht eine klare Befürwortung progressiver Ziele.	progressiv	deepseek/deepseek-r1-0528:free	1
5	progressiv	Der Artikel präsentiert das baskische System als positives, funktionierendes Beispiel vollständiger rechtlicher Gleichstellung der Frau und beschreibt ohne (oder sogar gegen) konservative Kritik anstößige Elemente wie Namenswechsel des Mannes, Verwaltungsrecht der Frau und historisches Stimmrecht. Trotz neutralem Grundton und Kritik an 'Frauentagen' fördert die Darstellung dieses Modells als 'gelöste' Alternative indirekt progressive Ideen der Geschlechtergerechtigkeit.	konservativ	deepseek/deepseek-r1-0528:free	1
6	neutral	Der Artikel behandelt Genderfragen nur im Nebensatz über eine Buchrezension zur Arbeiterinnenfrage und zeigt dabei ambivalente Positionen: Einerseits kritisiert er die Ungerechtigkeit gegenüber erwerbstätigen Frauen und fordert Schutzgesetze (progressiv), andererseits stigmatisiert er Frauenarbeit als Gefahr für Sittlichkeit und Familie und fokussiert auf traditionelle Mutterrollen (konservativ). Der Haupttext ist außen- und innenpolitisch orientiert und berührt Gender nicht.	falsch	deepseek/deepseek-r1-0528:free	1
7	konservativ	Der Artikel idealisiert durchgehend die traditionelle Rolle der Frau als Gehilfin des Mannes, Haushüterin und mütterliche Pflegerin. Er fordert Frauen zwar zu mehr Verantwortung im Krieg auf, verbindet dies aber ausschließlich mit konservativen Werten wie Opferbereitschaft, Gehorsam und der Bewahrung des häuslichen Bereichs, ohne Forderungen nach Gleichberechtigung, Bildung oder politischer Teilhabe zu thematisieren.	konservativ	deepseek/deepseek-r1-0528:free	1
8	konservativ	Der Artikel betont die nationale Ausrichtung des Frauenbundes und dessen Fokus auf Pflichten gegenüber dem Vaterland, nicht auf Frauenrechte. Er lehnt ausdrücklich frauenrechtliche 'Sonderbestrebungen' ab und rechtfertigt die Zurückstellung von Rechten ('besondere Rechte zu fordern') zugunsten vaterländischer Arbeit. Zudem entstand die Initiative bei konservativen Männern und propagiert ein Frauenbild im Dienst nationaler Interessen, nicht der Selbstbestimmung.	progressiv	deepseek/deepseek-r1-0528:free	1
9	konservativ	Der Artikel befürwortet zwar formal den Zugang von Frauen zu allen Berufen, propagiert jedoch ein traditionelles Familienbild, indem er den 'natürlichen Beruf der Frau' als Ehefrau und Mutter definiert. Eigenständige Berufe werden lediglich als Ersatz für Ehe und Mutterschaft bewertet, und als wirklich 'weiblich' werden nur Tätigkeiten akzeptiert, die sich aus der Hausfrauen- und Mutterrolle ableiten (z.B. Erzieherin, Krankenpflegerin), während entfremdende Berufe (wie Telefonistin) abgelehnt werden.	ambivalent	deepseek/deepseek-r1-0528:free	1
10	progressiv	Der Artikel befürwortet aktiv den Zugang von Frauen zur höheren Bildung, indem er erfolgreiche Abiturvorbereitungskurse für Schülerinnen hervorhebt und deren Prüfungserfolge detailliert dokumentiert. Zudem kritisiert er die ausbeuterische Praxis einer unbezahlten Stelle für Haushaltungslehrerinnen als unwürdig und setzt sich implizit für faire Arbeitsbedingungen in Frauenberufen ein.	progressiv	deepseek/deepseek-r1-0528:free	1
